best, best_n
0, 0
0.0071319, 0.00266209
0.906733, 0.0218218
2.70439, 1.80251
3.61669, 2.70146
3.61511, 2.71555
3.61357, 2.73046
3.61201, 3.59582
4.51043, 3.59955
4.5089, 3.60313
6.30716, 3.60516
6.30563, 3.60654
6.30406, 3.60498
6.30251, 3.60421
6.30093, 3.60924
6.29935, 4.50155
6.29783, 4.50002
6.29625, 4.49845
6.29469, 4.49735
6.29311, 4.49576
6.29155, 4.50178
6.29002, 4.50025
6.28846, 4.49869
6.28689, 4.50112
6.30392, 4.50593
8.10734, 5.392
8.10424, 5.39275
8.10116, 5.39417
8.09798, 5.39259
8.09484, 5.39978
8.09168, 5.3982
8.08858, 5.39665
8.08548, 5.3951
8.08232, 5.39352
8.07914, 5.39365
8.07592, 5.39223
8.07278, 5.39065
8.0696, 5.39121
8.06647, 5.38964
8.06337, 5.38809
8.06017, 5.38775
8.05709, 5.39165
8.05391, 5.39006
8.0507, 5.38845
8.04753, 5.38687
8.11448, 5.39689
8.11142, 5.39536
8.10827, 5.39379
8.10512, 5.39221
8.10194, 5.39297
11.7135, 5.39953
11.7104, 5.39875
11.7073, 5.39718
11.7041, 5.40307
11.7009, 5.40195
11.6977, 5.40425
11.6946, 5.4123
11.6915, 5.41074
11.6884, 5.40918
11.6852, 5.41162
11.682, 6.22871
11.6789, 6.23209
11.6757, 6.2305
11.6725, 6.22891
11.6693, 6.24097
11.6662, 6.26782
11.6632, 6.26633
