best, n16
0, 0
4.86653, 1.05524
4.86653, 1.05674
5.44504, 2.85524
5.44884, 4.59468
6.37032, 5.42168
6.37032, 5.42168
7.38005, 5.44884
7.38005, 5.44884
7.38005, 5.44884
11.0938, 5.46209
11.0938, 5.46209
11.0938, 5.46209
11.0938, 5.46209
11.0938, 5.46209
11.0938, 6.32184
11.0938, 6.37032
11.0938, 6.37107
11.0938, 6.48656
11.0938, 6.48656
11.0938, 6.52561
11.0938, 7.22601
11.0938, 7.22601
14.258, 7.26995
14.258, 7.26995
32.162, 7.30983
32.162, 7.30983
32.162, 7.30983
32.162, 7.30983
32.162, 7.30983
32.162, 7.30983
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00124035
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.162, 0.00625268
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
32.5968, 0
